#      date    value 
 1981-01-01        0 
 1981-01-02        0 
 1981-01-03    2.125 
 1981-01-04    4.375 
 1981-01-05        0 
 1981-01-06    2.375 
 1981-01-07   0.3125 
 1981-01-08        0 
 1981-01-09        0 
 1981-01-10        0 
 1981-01-11        0 
 1981-01-12   1.5625 
 1981-01-13   55.625 
 1981-01-14   4.9375 
 1981-01-15   22.625 
 1981-01-16   2.4375 
 1981-01-17    4.875 
 1981-01-18   8.9375 
 1981-01-19        0 
 1981-01-20   0.3125 
 1981-01-21      0.5 
 1981-01-22        0 
 1981-01-23        0 
 1981-01-24        0 
 1981-01-25        0 
 1981-01-26        0 
 1981-01-27        0 
 1981-01-28        0 
 1981-01-29        0 
 1981-01-30        0 
 1981-01-31        0 
 1981-02-01        0 
 1981-02-02        0 
 1981-02-03        0 
 1981-02-04   8.4375 
 1981-02-05   9.6875 
 1981-02-06        0 
 1981-02-07        0 
 1981-02-08        0 
 1981-02-09        0 
 1981-02-10     0.25 
 1981-02-11   6.0625 
 1981-02-12    1.375 
 1981-02-13   0.1875 
 1981-02-14        0 
 1981-02-15        0 
 1981-02-16        0 
 1981-02-17        0 
 1981-02-18    1.375 
 1981-02-19     4.25 
 1981-02-20     2.25 
 1981-02-21   4.0625 
 1981-02-22  13.9375 
 1981-02-23   1.8125 
 1981-02-24        0 
 1981-02-25    6.375 
 1981-02-26     1.75 
 1981-02-27     0.75 
 1981-02-28   0.9375 
 1981-03-01    1.625 
 1981-03-02    14.25 
 1981-03-03    5.875 
 1981-03-04   9.8125 
 1981-03-05        0 
 1981-03-06        0 
 1981-03-07        0 
 1981-03-08        0 
 1981-03-09        0 
 1981-03-10        0 
 1981-03-11        0 
 1981-03-12        0 
 1981-03-13        0 
 1981-03-14   0.0625 
 1981-03-15   0.1875 
 1981-03-16     0.25 
 1981-03-17   0.5625 
 1981-03-18   2.1875 
 1981-03-19   0.5625 
 1981-03-20        0 
 1981-03-21        0 
 1981-03-22   0.0625 
 1981-03-23   0.0625 
 1981-03-24        0 
 1981-03-25        0 
 1981-03-26        0 
 1981-03-27        0 
 1981-03-28        0 
 1981-03-29   0.0625 
 1981-03-30    0.125 
 1981-03-31      3.5 
 1981-04-01   11.125 
 1981-04-02   0.5625 
 1981-04-03     0.75 
 1981-04-04   0.3125 
 1981-04-05   1.3125 
 1981-04-06   0.0625 
 1981-04-07   0.0625 
 1981-04-08    0.125 
 1981-04-09    0.625 
 1981-04-10     0.75 
 1981-04-11   0.4375 
 1981-04-12        0 
 1981-04-13        0 
 1981-04-14        0 
 1981-04-15   0.0625 
 1981-04-16   0.1875 
 1981-04-17    13.25 
 1981-04-18   14.625 
 1981-04-19        0 
 1981-04-20   2.5625 
 1981-04-21    0.375 
 1981-04-22    0.125 
 1981-04-23   0.0625 
 1981-04-24   20.875 
 1981-04-25    11.25 
 1981-04-26    2.375 
 1981-04-27        2 
 1981-04-28        2 
 1981-04-29        0 
 1981-04-30        0 
 1981-05-01        0 
 1981-05-02    0.125 
 1981-05-03   5.6875 
 1981-05-04       11 
 1981-05-05     2.25 
 1981-05-06        0 
 1981-05-07        0 
 1981-05-08        0 
 1981-05-09        0 
 1981-05-10        0 
 1981-05-11     7.75 
 1981-05-12   9.1875 
 1981-05-13   7.9375 
 1981-05-14   0.3125 
 1981-05-15        0 
 1981-05-16    0.625 
 1981-05-17        0 
 1981-05-18   0.0625 
 1981-05-19   0.0625 
 1981-05-20   0.1875 
 1981-05-21        0 
 1981-05-22    0.125 
 1981-05-23   0.3125 
 1981-05-24        0 
 1981-05-25        0 
 1981-05-26        0 
 1981-05-27   7.0625 
 1981-05-28      0.5 
 1981-05-29        0 
 1981-05-30        0 
 1981-05-31        0 
 1981-06-01        0 
 1981-06-02   0.0625 
 1981-06-03        0 
 1981-06-04   0.0625 
 1981-06-05        3 
 1981-06-06   1.0625 
 1981-06-07        0 
 1981-06-08        0 
 1981-06-09        0 
 1981-06-10   0.0625 
 1981-06-11   0.8125 
 1981-06-12        0 
 1981-06-13        0 
 1981-06-14        0 
 1981-06-15        0 
 1981-06-16   0.1875 
 1981-06-17    0.125 
 1981-06-18    1.125 
 1981-06-19        0 
 1981-06-20    0.125 
